game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
MTX Mototrax,Activision,Activision,Racing,Racing,NA,2004,2004,E,E,2,2,NA,NA,79,No,0.07,0.02,NA,NA,0.1
Murakumo: Renegade Mech Pursuit,From Software,Other,Shooter,Shooter,NA,2002,2002,T,T,1,1,NA,NA,48,Yes,0.04,0.01,0.06,NA,0.11
MVP 06 NCAA Baseball,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,2,2,2,2,75,No,0.25,0.07,NA,0.01,0.34
MVP Baseball 2003,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,2,2,NA,NA,82,No,0.15,0.04,NA,0.01,0.2
MVP Baseball 2004,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,2,2,NA,NA,90,No,0.44,0.13,NA,0.02,0.59
MVP Baseball 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,2,2,2,2,NA,No,0.7,0.2,NA,0.03,0.94
MX 2002 Featuring Ricky Carmichael,THQ,THQ,Racing,Racing,NA,2001,2002,E,E,2,2,NA,NA,74,No,0.1,0.03,NA,NA,0.13
MX SuperFly featuring Ricky Carmichael,THQ,THQ,Racing,Racing,NA,2002,2002,E,E,2,2,NA,NA,74,No,0.07,0.02,NA,NA,0.1
MX Unleashed,THQ,THQ,Racing,Racing,NA,2004,2004,E,E,2,2,NA,NA,81,No,0.34,0.08,NA,0.02,0.44
MX vs. ATV Unleashed,THQ,THQ,Racing,Racing,NA,2005,2005,E,E,2,2,6,4,80,No,0.32,0.07,NA,0.01,0.4
MX World Tour Featuring Jamie Little,Crave Entertainment,Other,Racing,Racing,NA,2005,2005,E,E,4,4,4,4,51,No,0.03,0.01,NA,NA,0.03
Myst III: Exile,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2002,2002,E,E,1,1,NA,NA,55,No,0.04,0.01,NA,NA,0.06
Myst IV: Revelation,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2005,2005,T,T,1,1,NA,NA,75,Yes,0.04,0.01,NA,NA,0.05
Nakashima Tetsunari no Othello Seminar,Success,Other,Misc,NA,Misc,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Namco Museum,Namco Bandai Games,Namco Bandai Games,Collection,NA,Collection,2002,2002,E,E,2,2,NA,NA,59,No,0.77,0.11,NA,0.04,0.91
Namco Museum: 50th Anniversary,Namco Bandai Games,Namco Bandai Games,Collection,NA,Collection,2005,2005,E10,E,2,2,NA,NA,62,No,0.13,0.04,NA,0.01,0.18
NARC,Midway Games,Midway Games,Shooter,Shooter,NA,2005,2005,M,M,1,1,NA,NA,51,No,0.14,0.04,NA,0.01,0.18
NASCAR 06: Total Team Control,Electronic Arts,Electronic Arts,Racing,Racing,NA,2005,2005,E,E,2,2,4,4,79,No,0.2,0.06,NA,0.01,0.27
NASCAR 07,Electronic Arts,Electronic Arts,Racing,Racing,NA,2006,2006,E,E,2,2,4,4,72,No,0.03,0.01,NA,NA,0.04
NASCAR 2005: Chase for the Cup,Electronic Arts,Electronic Arts,Racing,Racing,NA,2004,2004,E,E,2,2,2,2,86,No,0.34,0.1,NA,0.02,0.45
NASCAR Heat 2002,Infogrames,Other,Racing,Racing,NA,2001,2002,E,E,4,4,NA,NA,78,No,0.15,0.04,NA,0.01,0.2
NASCAR Thunder 2002,Electronic Arts,Electronic Arts,Racing,Racing,NA,2001,2002,E,E,4,4,NA,NA,82,No,0.25,0.07,NA,0.01,0.33
NASCAR Thunder 2003,Electronic Arts,Electronic Arts,Racing,Racing,NA,2002,2002,E,E,4,4,NA,NA,84,No,0.2,0.06,NA,0.01,0.27
NASCAR Thunder 2004,Electronic Arts,Electronic Arts,Racing,Racing,NA,2003,2003,E,E,4,4,NA,NA,85,No,0.18,0.05,NA,0.01,0.23
NBA 2K2,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,90,No,0.15,0.04,NA,0.01,0.2
NBA 2K3,Sega,Sega,Sports,Sports,NA,2002,2002,E,E,4,4,4,4,87,No,0.24,0.07,NA,0.01,0.32
NBA 2K6,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,NA,2005,2005,E,E,4,4,10,8,84,No,0.27,0.08,NA,0.01,0.36
NBA 2K7,Take-Two Interactive,Take-Two Interactive,Sports,Sports,NA,2006,2006,E,E,4,4,10,8,83,No,0.02,0.01,NA,NA,0.03
NBA Ballers,Midway Games,Midway Games,Sports,Sports,NA,2004,2004,E,E,3,2,NA,NA,82,No,0.37,0.11,NA,0.02,0.51
NBA Ballers: Phenom,Midway Games,Midway Games,Sports,Sports,NA,2006,2006,E,E,4,4,2,2,70,No,0.09,0.03,NA,NA,0.13
NBA Inside Drive 2002,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,76,Yes,0.28,0.08,NA,0.01,0.37
NBA Inside Drive 2003,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,72,Yes,0.23,0.07,NA,0.01,0.31
NBA Inside Drive 2004,Microsoft Game Studios,Microsoft Game Studios,Sports,Sports,NA,2003,2003,E,E,4,4,2,2,71,Yes,0.13,0.04,NA,0.01,0.17
NBA Jam,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,NA,2003,2003,E,E,2,2,NA,NA,68,No,0.1,0.03,NA,NA,0.14
NBA Live 06,Electronic Arts,Electronic Arts,Sports,Sports,NA,2005,2005,E,E,4,4,8,8,79,No,0.57,0.04,NA,0.03,0.64
NBA Live 07,Electronic Arts,Electronic Arts,Sports,Sports,NA,2006,2006,E,E,4,4,8,8,69,No,0.04,0.01,NA,NA,0.06
NBA Live 2002,Electronic Arts,Electronic Arts,Sports,Sports,NA,2001,2002,E,E,4,4,NA,NA,76,No,0.35,0.03,NA,0.02,0.4
NBA Live 2003,Electronic Arts,Electronic Arts,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,82,No,0.31,0.04,NA,0.01,0.36
NBA Live 2004,Electronic Arts,Electronic Arts,Sports,Sports,NA,2003,2003,E,E,4,4,NA,NA,85,No,0.44,0.04,NA,0.02,0.51
NBA Live 2005,Electronic Arts,Electronic Arts,Sports,Sports,NA,2004,2004,E,E,4,4,2,2,85,No,0.81,0.05,NA,0.04,0.9
NBA Starting Five,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,NA,2002,2002,E,E,4,4,NA,NA,48,No,0.02,0.01,NA,NA,0.02
