game,publisher,publisher2,genre,genre_ma,genre_mi,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Pirates of the Caribbean,Ubisoft,Ubisoft,RPG,NA,RPG,2003,2003,T,T,1,1,NA,NA,65,Yes,0.22,0.06,NA,0.01,0.29
Pirates: Legend of the Black Buccaneer,Atari,Atari,ActionAdventure,ActionAdventure,NA,2006,2006,T,T,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Pirates: The Legend of Black Kat,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,2,2,NA,NA,74,No,0.05,0.01,NA,NA,0.06
Pitfall: The Lost Expedition,Activision,Activision,Platformer,NA,Platformer,2004,2004,E,E,1,1,NA,NA,73,No,0.05,0.01,NA,NA,0.07
Playboy: The Mansion,Ubisoft,Ubisoft,Simulation,NA,Simulation,2005,2005,M,M,1,1,NA,NA,61,No,0.07,0.02,NA,NA,0.09
Plus Plum 2,Takuyo,Other,Puzzle,NA,Puzzle,2004,2004,E,E,2,2,2,2,NA,No,NA,NA,NA,NA,NA
Powerdrome,Evolved Games,Other,Racing,Racing,NA,2004,2004,E,E,4,4,4,4,69,No,0.01,NA,NA,NA,0.01
Predator: Concrete Jungle,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,46,No,0.07,0.02,NA,NA,0.1
Prince of Persia: The Sands of Time,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2003,2003,T,T,1,1,NA,NA,92,No,0.57,0.33,NA,0.04,0.94
Prince of Persia: The Two Thrones,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2005,2005,M,M,1,1,NA,NA,85,No,0.33,0.22,NA,0.03,0.58
Prince of Persia: Warrior Within,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,NA,2004,2004,M,M,1,1,NA,NA,83,No,0.48,0.28,NA,0.04,0.8
Prisoner of War,Atari,Atari,ActionAdventure,ActionAdventure,NA,2002,2002,T,T,1,1,NA,NA,64,No,0.06,0.02,NA,NA,0.08
