game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
Skip Beat!,5pb,Other,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Sky Gunner,Sony Computer Entertainment,Sony Computer Entertainment,ActionAdventure,ActionAdventure,2001,2001,E,E,1,1,NA,NA,75,Yes,0.04,0.03,NA,0.01,0.07
Sky Odyssey,Sony Computer Entertainment,Sony Computer Entertainment,Simulation,Simulation,2000,2001,E,E,1,1,NA,NA,79,Yes,0.16,0.12,NA,0.04,0.32
Sled Storm,Electronic Arts,Electronic Arts,Racing,Racing,2002,2002,T,T,2,2,NA,NA,73,Yes,0.22,0.17,NA,0.06,0.45
Slotter Up Core 11: Kyoujin no Hoshi IV,Dorart,Other,Misc,Misc,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Slotter Up Mania 11: 2027 vs 2027 II,Dorart,Other,Misc,Misc,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Sly 2: Band of Thieves,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2004,2004,E,E,1,1,NA,NA,88,Yes,0.88,0.69,NA,0.23,1.81
Sly 3: Honor Among Thieves,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2005,2005,E10,E,1,1,NA,NA,83,Yes,0.69,0.03,NA,0.11,0.83
Sly Cooper and the Thievius Raccoonus,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2002,2002,E,E,1,1,NA,NA,86,Yes,1.03,0.14,NA,0.04,1.21
Smash Cars,Metro 3D,Other,Racing,Racing,2003,2003,E,E,2,2,NA,NA,67,Yes,0.06,0.04,NA,0.01,0.11
Smash Court Tennis Pro Tournament,Sony Computer Entertainment,Sony Computer Entertainment,Sports,Sports,2002,2002,E,E,2,2,NA,NA,73,Yes,0.08,0.07,NA,0.02,0.17
Smash Court Tennis Pro Tournament 2,Sony Computer Entertainment,Sony Computer Entertainment,Sports,Sports,2004,2004,E,E,4,4,NA,NA,74,Yes,0.06,0.05,NA,0.02,0.13
Smuggler's Run,Take-Two Interactive,Take-Two Interactive,Racing,Racing,2000,2001,T,T,2,2,NA,NA,79,Yes,0.77,0.6,NA,0.2,1.56
Sniper Elite,Ubisoft,Ubisoft,Shooter,Shooter,2005,2005,M,M,2,2,8,8,76,No,0.1,0.07,NA,0.02,0.19
SNK Arcade Classics Vol. 1,Ignition Entertainment,Ignition Entertainment,Collection,Other,2008,2008,T,T,2,2,NA,NA,69,Yes,0.09,0.07,NA,0.02,0.19
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,Sega,Sega,Sports,Sports,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.55,NA,0.55
SOCOM 3: U.S. Navy SEALs,Sony Computer Entertainment,Sony Computer Entertainment,Shooter,Shooter,2005,2005,M,M,1,1,32,16,82,Yes,1.22,0.34,0.04,0.1,1.69
SOCOM II: U.S. Navy SEALs,Sony Computer Entertainment,Sony Computer Entertainment,Shooter,Shooter,2003,2003,M,M,1,1,NA,NA,87,Yes,2.22,0.51,0.06,0.15,2.94
SOCOM: U.S. Navy SEALs,Sony Computer Entertainment,Sony Computer Entertainment,Shooter,Shooter,2002,2002,M,M,1,1,16,16,82,Yes,2.53,0.81,0.06,0.24,3.65
SOCOM: U.S. Navy SEALs: Combined Assault,Sony Computer Entertainment,Sony Computer Entertainment,Shooter,Shooter,2006,2006,M,M,1,1,32,16,72,Yes,1.74,0.02,NA,0.28,2.04
Soldier of Fortune: Gold Edition,Codemasters,Codemasters,Shooter,Shooter,2001,2001,M,M,4,4,NA,NA,59,Yes,0.27,0.21,NA,0.07,0.56
Sonic Heroes,Sega,Sega,Platformer,Platformer,2003,2003,E,E,2,2,NA,NA,64,No,1.04,1.37,0.06,0.49,2.96
Sonic Mega Collection Plus,Sega,Sega,Collection,Other,2004,2004,E,E,2,2,NA,NA,73,No,1.54,1.14,NA,0.22,2.9
Sonic Riders,Sega,Sega,Racing,Racing,2006,2006,E,E,4,4,NA,NA,55,Yes,0.42,0.02,NA,0.07,0.5
Sonic Riders: Zero Gravity,Sega,Sega,Racing,Racing,2008,2008,E,E,4,4,NA,NA,56,Yes,0.09,0.07,NA,0.02,0.18
Sonic Unleashed,Sega,Sega,Platformer,Platformer,2008,2008,E,E,1,1,NA,NA,66,Yes,0.37,0.04,NA,0.36,0.76
Soshite Kono Uchuu ni Kirameku Kimi no Shi XXX,Datam Polystar,Other,JAdventure,JAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Soul Eater: Battle Resonance,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2009,2009,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Soul Nomad & the World Eaters,Tecmo Koei,Tecmo Koei,RPG,RPG,2007,2007,T,T,1,1,NA,NA,73,Yes,0.14,0.11,0.09,0.04,0.37
Soul Reaver 2,Eidos Interactive,Eidos Interactive,ActionAdventure,ActionAdventure,2001,2001,M,M,1,1,NA,NA,80,Yes,0.27,0.21,NA,0.07,0.55
SoulCalibur II,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2003,2003,T,T,2,2,NA,NA,92,No,1.06,0.62,0.13,0.25,2.06
SoulCalibur III,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2005,2005,T,T,2,2,NA,NA,86,Yes,0.74,0.15,0.13,0.05,1.07
SoulLink Extension,Interchannel,Other,JAdventure,JAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Space Channel 5 Special Edition,Agetec,Other,Misc,Misc,2003,2003,T,T,2,2,NA,NA,79,Yes,0.04,0.03,NA,0.01,0.08
Space Chimps,Brash Entertainment,Other,Platformer,Platformer,2008,2008,E10,E,1,1,NA,NA,NA,Yes,0.06,0.05,NA,0.02,0.12
Space Venus starring Morning Musume,Sony Music Entertainment,Other,Misc,Misc,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.14,NA,0.14
Spartan: Total Warrior,Sega,Sega,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,74,No,0.11,0.09,NA,0.03,0.22
Spawn: Armageddon,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,2003,2003,M,M,1,1,NA,NA,56,No,0.22,0.17,NA,0.06,0.44
Speed Kings,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,E,E,2,2,NA,NA,61,No,0.05,0.04,NA,0.01,0.09
Speed Racer: The Videogame,Warner Bros. Interactive Entertainment,Other,Racing,Racing,2008,2008,E,E,4,4,NA,NA,NA,Yes,0.1,0.08,NA,0.03,0.21
Sphinx and the Cursed Mummy,THQ,THQ,ActionAdventure,ActionAdventure,2003,2003,T,T,1,1,NA,NA,78,No,0.22,0.17,NA,0.06,0.45
Spider-Man 2,Activision,Activision,ActionAdventure,ActionAdventure,2004,2004,T,T,1,1,NA,NA,80,No,1.75,1.2,0.02,0.43,3.41
Spider-Man 3,Activision,Activision,Platformer,Platformer,2007,2007,T,T,1,1,NA,NA,50,Yes,0.74,0.03,0.01,0.12,0.9
Spider-Man: Friend or Foe,Activision,Activision,ActionAdventure,ActionAdventure,2007,2007,E10,E,2,2,NA,NA,62,Yes,0.31,0.01,NA,0.05,0.37
Spider-Man: The Movie,Activision,Activision,ActionAdventure,ActionAdventure,2002,2002,E,E,1,1,NA,NA,76,No,2.71,1.51,0.03,0.23,4.48
Spider-Man: Web of Shadows,Activision,Activision,ActionAdventure,ActionAdventure,2008,2008,E10,E,1,1,NA,NA,69,No,0.1,0.08,NA,0.03,0.21
SplashDown,Atari,Atari,Racing,Racing,2001,2001,E,E,2,2,NA,NA,84,No,0.34,0.27,NA,0.09,0.7
SplashDown: Rides Gone Wild,THQ,THQ,Racing,Racing,2003,2003,E,E,2,2,NA,NA,80,Yes,0.24,0.19,NA,0.06,0.5
SpongeBob SquarePants Featuring Nicktoons: Globs of Doom,THQ,THQ,ActionAdventure,ActionAdventure,2008,2008,E10,E,2,2,NA,NA,NA,No,0.29,0.22,NA,0.07,0.58
SpongeBob SquarePants: Battle for Bikini Bottom,THQ,THQ,Platformer,Platformer,2003,2003,E,E,1,1,NA,NA,71,No,1.08,0.45,NA,0.14,1.67
"SpongeBob SquarePants: Lights, Camera, Pants!",THQ,THQ,Party,Other,2005,2005,E,E,4,4,NA,NA,59,No,0.37,0.01,NA,0.06,0.44
SpongeBob SquarePants: Revenge of the Flying Dutchman,THQ,THQ,Platformer,Platformer,2002,2002,E,E,1,1,NA,NA,NA,No,0.53,0.41,NA,0.14,1.08
SpongeBob's Atlantis SquarePantis,THQ,THQ,ActionAdventure,ActionAdventure,2007,2007,E,E,2,2,NA,NA,NA,No,0.36,0.01,NA,0.06,0.44
Sprint Cars: Road to Knoxville,THQ,THQ,Racing,Racing,2005,2005,E,E,2,2,NA,NA,NA,Yes,0.03,0.03,NA,0.01,0.07
Spy Fiction,Sega,Sega,ActionAdventure,ActionAdventure,2003,2003,M,M,1,1,NA,NA,61,Yes,0.02,0.02,NA,0.01,0.04
Spy Hunter,Midway Games,Midway Games,Racing,Racing,2001,2001,T,T,2,2,NA,NA,84,No,1.13,0.32,NA,0.22,1.67
Spy Hunter 2,Midway Games,Midway Games,Racing,Racing,2003,2003,T,T,2,2,NA,NA,57,No,0.24,0.19,NA,0.06,0.49
