game,publisher,publisher2,genre,genre2,year,year2,esrb,esrb2,local_player,local_player2,online_player,online_player2,metacritic,exclusive,sales_na,sales_eu,sales_jp,sales_o,sales_total
.hack//G.U. Vol.1//Rebirth,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2006,2006,T,T,1,1,NA,NA,69,Yes,NA,NA,0.17,NA,0.17
.hack//G.U. Vol.2//Reminisce,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2006,2006,T,T,1,1,NA,NA,61,Yes,0.11,0.09,0.16,0.03,0.39
.hack//G.U. Vol.3//Redemption,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2007,2007,T,T,1,1,NA,NA,60,Yes,NA,NA,0.17,NA,0.17
.hack//Infection Part 1,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2002,2002,T,T,1,1,NA,NA,75,Yes,0.49,0.38,0.26,0.13,1.27
.hack//Mutation Part 2,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2002,2002,T,T,1,1,NA,NA,76,Yes,0.23,0.18,0.2,0.06,0.68
.hack//Outbreak Part 3,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2002,2002,T,T,1,1,NA,NA,70,Yes,0.14,0.11,0.17,0.04,0.46
.hack//Quarantine Part 4: The Final Chapter,Namco Bandai Games,Namco Bandai Games,RPG,RPG,2003,2003,T,T,1,1,NA,NA,70,Yes,0.09,0.07,NA,0.02,0.18
007: Quantum of Solace,Activision,Activision,ActionAdventure,ActionAdventure,2008,2008,T,T,1,1,NA,NA,NA,Yes,0.17,NA,NA,0.26,0.43
10.000 Bullets,505 Games,505 Games,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
12Riven: The Psi-Climinal of Integral,CyberFront,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.04,NA,0.04
18 Wheeler: American Pro Trucker,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2001,2001,E,E,2,2,NA,NA,61,No,0.2,0.15,NA,0.05,0.4
187: Ride or Die,Ubisoft,Ubisoft,Racing,Racing,2005,2005,M,M,2,2,8,8,52,No,0.07,0.06,NA,0.02,0.15
2002 FIFA World Cup,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,E,4,4,NA,NA,73,No,0.21,0.17,0.16,0.06,0.59
24: The Game,Sony Computer Entertainment,Sony Computer Entertainment,ActionAdventure,ActionAdventure,2006,2006,M,M,1,1,NA,NA,62,Yes,0.15,0.12,NA,0.04,0.3
25 to Life,Eidos Interactive,Eidos Interactive,Shooter,Shooter,2006,2006,M,M,1,1,16,16,39,No,0.35,0.01,NA,0.06,0.42
3-Nen B-Gumi Kinpachi Sensei: Densetsu no Kyoudan ni Tate!,ChunSoft,Other,RPG,RPG,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
4x4 EVO 2,BAM! Entertainment,Other,Racing,Racing,2003,2003,E,E,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
4x4 Evolution,Gathering of Developers,Other,Racing,Racing,2001,2001,E,E,2,2,NA,NA,64,Yes,0.16,0.12,NA,0.04,0.32
50 Cent: Bulletproof,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,2005,2005,M,M,1,1,NA,NA,47,No,0.85,0.76,NA,0.16,1.77
7 Blades,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,2000,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
7 Sins,Digital Jesters,Other,Simulation,Simulation,2005,2005,M,M,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
7 Wonders of the Ancient World,Funsta,Other,Puzzle,Other,2007,2007,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
A Ressha de Gyoukou 2001,ArtDink,Other,Simulation,Simulation,2001,2001,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.03,NA,0.03
A.C.E.: Another Century's Episode,Banpresto,Banpresto,Simulation,Simulation,2005,2005,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.26,NA,0.26
A.C.E.: Another Century's Episode 2,Banpresto,Banpresto,Simulation,Simulation,2006,2006,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.18,NA,0.18
A.C.E.: Another Century's Episode 2 - Special Vocal Version,Banpresto,Banpresto,Simulation,Simulation,2007,2007,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
A.C.E.: Another Century's Episode 3: The Final,Banpresto,Banpresto,Simulation,Simulation,2007,2007,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.26,NA,0.26
Aa Megami-samaa,Marvelous Interactive,Marvelous Interactive,JAdventure,JAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
AC/DC LIVE: Rock Band Track Pack,MTV Games,Other,Music,Music,2008,2008,T,T,4,4,NA,NA,NA,Yes,0.08,0.06,NA,0.02,0.16
Ace Combat 04: Shattered Skies,Namco Bandai Games,Namco Bandai Games,Simulation,Simulation,2001,2001,E,E,2,2,NA,NA,89,Yes,2.06,0.56,0.38,0.17,3.17
Ace Combat 5: The Unsung War,Namco Bandai Games,Namco Bandai Games,Simulation,Simulation,2004,2004,T,T,1,1,NA,NA,84,Yes,0.88,0.34,0.32,0.18,1.71
Ace Combat Zero: The Belkan War,Namco Bandai Games,Namco Bandai Games,Simulation,Simulation,2006,2006,T,T,2,2,NA,NA,75,Yes,0.15,0.12,0.2,0.04,0.51
Ace Lightning,BBC Multimedia,Other,ActionAdventure,ActionAdventure,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Aces of War,505 Games,505 Games,Simulation,Simulation,2004,2004,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Action Girlz Racing,Metro 3D,Other,Racing,Racing,2005,2005,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Activision Anthology,Activision,Activision,Collection,Other,2002,2002,E,E,2,2,NA,NA,75,Yes,0.25,0.19,NA,0.06,0.5
ADK Tamashii,SNK Playmore,Other Other,Fighting,Fighting,2008,2008,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Aeon Flux,THQ,THQ,ActionAdventure,ActionAdventure,2005,2005,T,T,1,1,NA,NA,58,No,0.02,0.02,NA,0.01,0.04
Aero Elite: Combat Academy,Sega,Sega,Simulation,Simulation,2002,2002,E,E,2,2,NA,NA,64,Yes,0.04,0.03,NA,0.01,0.07
AFL Live 2003,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2002,2002,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
AFL Live 2004,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
AFL Live Premiership Edition,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
After Burner II,Sega,Sega,Shooter,Shooter,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
After... Wasureemu Kizuna,Pione Soft,Other,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Agassi Tennis Generation,DreamCatcher Interactive,Other,Sports,Sports,2003,2003,E,E,4,4,NA,NA,NA,Yes,0.04,0.03,NA,0.01,0.09
Age of Empires II: The Age of Kings,Konami Digital Entertainment,Konami Digital Entertainment,Strategy,Strategy,2001,2001,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Agent Hugo: Hula Holiday,NDS Software,Other,Platformer,Platformer,2008,2008,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Agent Hugo: Lemoon Twist,ITE Media,Other,Platformer,Platformer,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Aggressive Inline,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2002,2002,T,T,2,2,NA,NA,85,No,0.17,0.13,NA,0.04,0.35
Aikagi,NEC Interchannel,NEC Other,JAdventure,JAdventure,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
AIR,NEC Interchannel,NEC Other,JAdventure,JAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Air Raid 3,Phoenix Games,Phoenix Games,Shooter,Shooter,2007,2007,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Air Ranger 2 Plus: Rescue Helicopter,ASK,Other,Simulation,Simulation,2003,2003,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Air Ranger 2: Rescue Helicopter,ASK,Other,Simulation,Simulation,2002,2002,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Air Ranger: Rescue Helicopter,Midas Interactive Entertainment,Midas Interactive Entertainment,Simulation,Simulation,2001,2001,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Airblade,Sony Computer Entertainment,Sony Computer Entertainment,Sports,Sports,2001,2001,T,T,2,2,NA,NA,70,Yes,0.11,0.09,NA,0.03,0.23
Airborne Troops: Countdown to D-Day,Playlogic Game Factory,Playlogic Other,Shooter,Shooter,2005,2005,T,T,1,1,NA,NA,39,Yes,0.06,0.05,NA,0.02,0.12
AirForce Delta Strike,Konami Digital Entertainment,Konami Digital Entertainment,Simulation,Simulation,2004,2004,T,T,1,1,NA,NA,66,No,0.05,0.04,NA,0.01,0.11
Akagi: Yami ni Furitatta Tensai,D3Publisher,D3Publisher,JAdventure,JAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Akai Ito,Success,Other,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Akane Iro ni Somaru Saka Parallel,GN Software,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.03,NA,0.03
Akira Psychoball,Atari,Atari,Misc,Misc,2002,2002,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Akudaikan,Global A Entertainment,Other,ActionAdventure,ActionAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Akudaikan 2: Mousouden,Global A Entertainment,Other,ActionAdventure,ActionAdventure,2003,2003,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Akudaikan 3,Global A Entertainment,Other,ActionAdventure,ActionAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alan Hansen's Sports Challenge,Oxygen Interactive,Other,Misc,Misc,2007,2007,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alarm For Cobra 11 Vol.2: Hot Pursuit,RTL,Other,Racing,Racing,2005,2005,T,T,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alex Ferguson's Player Manager 2001,3DO,Other,Sports,Sports,2001,2001,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alfa Romeo Racing Italiano,Black Bean Games,Other,Racing,Racing,2005,2005,E,E,2,2,NA,NA,68,Yes,0.01,0.01,NA,NA,0.01
Alias,Acclaim Entertainment,Acclaim Entertainment,ActionAdventure,ActionAdventure,2004,2004,T,T,1,1,NA,NA,64,No,0.05,0.04,NA,0.01,0.11
Alien Hominid,Zoo Digital Publishing,Other,Shooter,Shooter,2004,2004,T,T,4,4,NA,NA,78,No,0.05,0.04,NA,0.01,0.1
Aliens in the Attic,Playlogic Game Factory,Playlogic Other,ActionAdventure,ActionAdventure,2009,2009,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Aliens versus Predator: Extinction,Electronic Arts,Electronic Arts,Strategy,Strategy,2003,2003,T,T,1,1,NA,NA,66,No,0.09,0.07,NA,0.02,0.19
All Star Fighters,Essential Games,Other,Fighting,Fighting,2005,2005,T,T,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
All Star Pro-Wrestling,Square Enix,Square Enix,Fighting,Fighting,2000,2001,T,T,2,2,NA,NA,NA,Yes,NA,NA,0.2,NA,0.2
All-Star Baseball 2002,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2001,2001,E,E,4,4,NA,NA,77,No,0.27,0.21,NA,0.07,0.56
All-Star Baseball 2003,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2002,2002,E,E,2,2,NA,NA,81,No,0.38,0.29,NA,0.1,0.77
All-Star Baseball 2004,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2003,2003,E,E,4,4,NA,NA,78,No,0.21,0.16,NA,0.05,0.42
All-Star Baseball 2005,Acclaim Entertainment,Acclaim Entertainment,Sports,Sports,2001,2001,E,E,2,2,NA,NA,72,No,0.16,0.12,NA,0.04,0.32
Alone in the Dark,Atari,Atari,ActionAdventure,ActionAdventure,2008,2008,M,M,1,1,NA,NA,47,Yes,0.03,0.02,NA,0.01,0.06
Alone in the Dark: The New Nightmare,Infogrames,Other,ActionAdventure,ActionAdventure,2001,2001,M,M,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alpine Racer 3,Sony Computer Entertainment,Sony Computer Entertainment,Sports,Sports,2002,2002,E,E,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alter Echo,THQ,THQ,Shooter,Shooter,2003,2003,T,T,1,1,NA,NA,62,No,0.06,0.05,NA,0.02,0.13
Altered Beast,Sega,Sega,ActionAdventure,ActionAdventure,2005,2005,T,T,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Alvin and the Chipmunks,Brash Entertainment,Other,Music,Music,2007,2007,E,E,1,1,NA,NA,33,Yes,0.04,0.03,NA,0.01,0.07
Amagami,Enterbrain,Other,JAdventure,JAdventure,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.13,NA,0.13
Amagoushi no Yakata,Nippon Ichi Software,Other,JAdventure,JAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
America Oudan Ultra-Quiz,DigiCube,Other,Party,Other,2002,2002,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
American Chopper,Zoo Digital Publishing,Other,Racing,Racing,2004,2004,T,T,1,1,NA,NA,47,No,0.35,0.01,NA,0.06,0.42
American Chopper 2: Full Throttle,Zoo Digital Publishing,Other,Racing,Racing,2005,2005,T,T,1,1,NA,NA,NA,No,0.09,0.07,NA,0.02,0.18
American Idol,Codemasters,Codemasters,Music,Music,2003,2003,E,E,4,4,NA,NA,41,Yes,0.27,0.21,NA,0.07,0.55
AMF Xtreme Bowling,Mastertronic,Other,Sports,Sports,2006,2006,E,E,4,4,NA,NA,30,No,0.01,0.01,NA,NA,0.02
Amplitude,Sony Computer Entertainment,Sony Computer Entertainment,Music,Music,2003,2003,T,T,4,4,NA,NA,86,Yes,0.09,0.07,NA,0.02,0.18
And1 Streetball,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2006,2006,E10,E,2,2,8,8,51,No,0.13,0.1,NA,0.03,0.27
Angelic Concert,Success,Other,ActionAdventure,ActionAdventure,2003,2003,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Angelique Etoile,Tecmo Koei,Tecmo Koei,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Angelique Trois,Tecmo Koei,Tecmo Koei,JAdventure,JAdventure,2000,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
Angelique Trois: Aizouhen,Tecmo Koei,Tecmo Koei,JAdventure,JAdventure,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Angel's Feather,KID,KID,RPG,RPG,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Angel's Feather: Kuro no Zanei,GN Software,Other,RPG,RPG,2005,2005,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Animaniacs: The Great Edgar Hunt,Ignition Entertainment,Ignition Entertainment,Platformer,Platformer,2005,2005,E,E,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Anime Eikaiwa: 15 Shounen Hyouryuuhen,Success,Other,Misc,Misc,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Anime Eikaiwa: Tondemo Nezumi Daikatsuyaku,Success,Other,Misc,Misc,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Anime Eikaiwa: Totoi,Success,Other,Misc,Misc,2001,2001,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Antz Extreme Racing,Empire Interactive,Empire Interactive,Racing,Racing,2002,2002,E,E,4,4,NA,NA,31,No,0.02,0.02,NA,0.01,0.04
Anubis II,Metro3D,Other,Platformer,Platformer,2005,2005,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Aoishiro,Success,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Ape Escape 2,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2002,2002,E,E,1,1,NA,NA,82,Yes,0.12,0.09,0.38,0.03,0.63
Ape Escape 3,Sony Computer Entertainment,Sony Computer Entertainment,Platformer,Platformer,2005,2005,E10,E,1,1,NA,NA,77,Yes,0.06,0.05,NA,0.02,0.13
Ape Escape: Pumped & Primed,Sony Computer Entertainment,Sony Computer Entertainment,Party,Other,2004,2004,T,T,4,4,NA,NA,61,Yes,0.04,0.03,NA,0.01,0.08
Apocripha/0,GN Software,Other,JAdventure,JAdventure,2004,2004,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Appleseed EX,Sega,Sega,Fighting,Fighting,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Aqua Aqua,3DO,Other,Puzzle,Other,2000,2001,E,E,2,2,NA,NA,79,Yes,0.05,0.04,NA,0.01,0.11
Aqua Teen Hunger Force: Zombie Ninja Pro-Am,Midway Games,Midway Games,Racing,Racing,2007,2007,M,M,2,2,NA,NA,37,Yes,0.03,0.03,NA,0.01,0.07
Ar tonelico 2: Melody of Metafalica,Nippon Ichi Software,Other,RPG,RPG,2007,2007,T,T,1,1,NA,NA,71,Yes,0.04,0.03,0.11,0.01,0.18
Ar tonelico: Melody of Elemia,505 Games,505 Games,RPG,RPG,2006,2006,T,T,1,1,NA,NA,71,Yes,NA,NA,0.1,NA,0.1
Arabians Lost: The Engagement on Desert,Prototype,Other,JAdventure,JAdventure,2007,2007,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Arc the Lad: End of Darkness,Sony Computer Entertainment,Sony Computer Entertainment,RPG,RPG,2004,2004,T,T,1,1,8,8,59,Yes,0.03,0.02,NA,0.01,0.06
Arc the Lad: Twilight of the Spirits,Sony Computer Entertainment,Sony Computer Entertainment,RPG,RPG,2003,2003,T,T,1,1,NA,NA,72,Yes,0.18,0.14,NA,0.05,0.36
Arcana Heart,AQ Interactive,Other,Fighting,Fighting,2007,2007,T,T,1,1,NA,NA,77,Yes,0.06,0.05,0.04,0.02,0.16
Archer Maclean Presents: Pool Paradise,Ignition Entertainment,Ignition Entertainment,Sports,Sports,2004,2004,E,E,2,2,NA,NA,NA,No,0.03,0.02,NA,0.01,0.06
Arcobaleno!,Idea Factory,Idea Factory,Simulation,Simulation,2009,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Arctic Thunder,Midway Games,Midway Games,Racing,Racing,2001,2001,T,T,2,2,NA,NA,45,No,0.17,0.14,NA,0.05,0.36
Are You Smarter than a 5th Grader? Make the Grade,THQ,THQ,Misc,Misc,2008,2008,E,E,4,4,NA,NA,NA,No,NA,NA,NA,NA,NA
Area 51,Midway Games,Midway Games,Shooter,Shooter,2005,2005,M,M,2,2,16,16,75,No,0.22,0.17,NA,0.06,0.45
Arena Football,Electronic Arts,Electronic Arts,Sports,Sports,2006,2006,E10,E,4,4,4,4,66,No,0.28,0.22,NA,0.07,0.56
Aria: The Natural ~Tooi Yume no Mirage~,Alchemist,Other,JAdventure,JAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Aria: The Origination ~Aoi Wakusei no El Cielo~,Alchemist,Other,JAdventure,JAdventure,2008,2008,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,0.02,NA,0.02
Armen Noir,Idea Factory,Idea Factory,JAdventure,JAdventure,2010,2009,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Armored Core 2,From Software,Other,Simulation,Simulation,2000,2001,T,T,2,2,NA,NA,78,Yes,0.28,0.22,0.23,0.07,0.79
Armored Core 2: Another Age,From Software,Other,Simulation,Simulation,2001,2001,T,T,2,2,NA,NA,75,Yes,0.11,0.08,0.19,0.03,0.41
Armored Core 3,From Software,Other,Simulation,Simulation,2002,2002,T,T,4,4,NA,NA,74,Yes,0.22,0.17,0.23,0.06,0.67
Armored Core: Formula Front,From Software,Other,Simulation,Simulation,2004,2004,T,T,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Armored Core: Last Raven,From Software,Other,Simulation,Simulation,2005,2005,T,T,2,2,4,4,59,Yes,0.05,0.04,0.08,0.01,0.18
Armored Core: Nexus,From Software,Other,Simulation,Simulation,2004,2004,T,T,2,2,4,4,73,Yes,0.06,0.05,0.14,0.02,0.26
Armored Core: Nine Breaker,From Software,Other,Simulation,Simulation,2004,2004,T,T,2,2,NA,NA,57,Yes,0.03,0.03,NA,0.01,0.07
Armored Core: Silent Line,From Software,Other,Simulation,Simulation,2003,2003,T,T,4,4,NA,NA,NA,Yes,0.07,0.06,0.16,0.02,0.31
Army Men: Green Rogue,3DO,Other,ActionAdventure,ActionAdventure,2001,2001,T,T,2,2,NA,NA,39,Yes,0.06,0.05,NA,0.02,0.13
Army Men: Major Malfunction,Global Star,Other,Shooter,Shooter,2006,2006,T,T,1,1,NA,NA,NA,No,NA,NA,NA,NA,NA
Army Men: RTS,3DO,Other,Strategy,Strategy,2002,2002,T,T,1,1,NA,NA,68,No,0.05,0.04,NA,0.01,0.11
Army Men: Sarge's Heroes 2,Midas Interactive Entertainment,Midas Interactive Entertainment,Shooter,Shooter,2001,2001,T,T,2,2,NA,NA,54,Yes,0.09,0.07,NA,0.02,0.17
Army Men: Sarge's War,Global Star,Other,Shooter,Shooter,2004,2004,T,T,2,2,NA,NA,NA,No,NA,NA,NA,NA,NA
Army Men: Soldiers of Misfortune,Zoo Games,Other,Shooter,Shooter,2008,2008,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Art of Fighting Anthology,Crave Entertainment,Other,Fighting,Fighting,2006,2006,T,T,2,2,NA,NA,60,Yes,0.02,0.02,NA,0.01,0.04
Arthur and the Invisibles,Atari,Atari,ActionAdventure,ActionAdventure,2007,2007,E10,E,1,1,NA,NA,66,Yes,NA,NA,NA,NA,NA
Ashita no Joe 2: The Anime Super Remix,Capcom,Capcom,Fighting,Fighting,2002,2002,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,0.01,NA,0.01
Ashita no Joe Touchi: Typing Namida Hashi,Sunsoft,Other,Fighting,Fighting,2001,2001,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Ashita no Joe: Masshiro ni Moe Tsukiro!,Konami Digital Entertainment,Konami Digital Entertainment,Fighting,Fighting,2003,2003,NA,NA,2,2,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Asobi ni Iku yo! Chikyuu Pinchi no Konyaku Sengen,Idea Factory,Idea Factory,JAdventure,JAdventure,2006,2006,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Asterix & Obelix XXL2: Mission: Las Vegum,Atari,Atari,ActionAdventure,ActionAdventure,2006,2006,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Asterix & Obelix: Kick Buttix,Atari,Atari,ActionAdventure,ActionAdventure,2004,2004,E,E,1,1,NA,NA,59,Yes,0.02,0.01,NA,NA,0.03
Asterix at the Olympic Games,Atari,Atari,Sports,Sports,2008,2008,E,E,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
Astro Boy,Sega,Sega,ActionAdventure,ActionAdventure,2004,2004,T,T,1,1,NA,NA,54,Yes,0.04,0.03,NA,0.01,0.09
Astro Boy: The Video Game,D3Publisher,D3Publisher,ActionAdventure,ActionAdventure,2009,2009,E10,E,1,1,NA,NA,56,Yes,0.05,0.04,NA,0.01,0.11
Atari Anthology,Atari,Atari,Collection,Other,2004,2004,E,E,4,4,NA,NA,66,No,0.33,0.01,NA,0.05,0.4
Atelier Iris 2: The Azoth Of Destiny,Tecmo Koei,Tecmo Koei,RPG,RPG,2005,2005,E10,E,1,1,NA,NA,68,Yes,0.03,0.02,NA,0.01,0.06
Atelier Iris 3: Grand Phantasm,Tecmo Koei,Tecmo Koei,RPG,RPG,2006,2006,T,T,1,1,NA,NA,63,Yes,0.14,0.11,0.04,0.04,0.33
Atelier Iris: Eternal Mana,Tecmo Koei,Tecmo Koei,RPG,RPG,2004,2004,T,T,1,1,NA,NA,74,Yes,0.08,0.06,NA,0.02,0.15
Athens 2004,Sony Computer Entertainment,Sony Computer Entertainment,Sports,Sports,2004,2004,E,E,4,4,NA,NA,61,Yes,0.13,0.1,NA,0.03,0.27
Atlantis III: The New World,Cryo Interactive,Other,ActionAdventure,ActionAdventure,2002,2002,NA,NA,1,1,NA,NA,NA,Yes,NA,NA,NA,NA,NA
A-Train 6,Midas Interactive Entertainment,Midas Interactive Entertainment,Strategy,Strategy,2000,2001,E,E,1,1,NA,NA,NA,Yes,NA,NA,0.06,NA,0.06
ATV Offroad Fury,Sony Computer Entertainment,Sony Computer Entertainment,Racing,Racing,2001,2001,E,E,2,2,NA,NA,82,Yes,2.07,0.26,NA,0.08,2.41
ATV Offroad Fury 2,Sony Computer Entertainment,Sony Computer Entertainment,Racing,Racing,2002,2002,E,E,4,4,NA,NA,82,Yes,1.92,0.2,NA,0.06,2.18
ATV Offroad Fury 3,Sony Computer Entertainment,Sony Computer Entertainment,Racing,Racing,2004,2004,E,E,4,4,6,4,78,Yes,1,0.04,NA,0.16,1.2
ATV Offroad Fury 4,Sony Computer Entertainment,Sony Computer Entertainment,Racing,Racing,2006,2006,E,E,4,4,NA,NA,NA,Yes,NA,NA,NA,NA,NA
ATV Quad Power Racing 2,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,E,E,2,2,NA,NA,68,No,0.41,0.32,NA,0.11,0.84
Auto Modellista,Capcom,Capcom,Racing,Racing,2002,2002,E,E,2,2,8,8,66,No,0.19,0.15,NA,0.05,0.39
Avatar: The Last Airbender,THQ,THQ,ActionAdventure,ActionAdventure,2006,2006,E10,E,1,1,NA,NA,59,No,NA,NA,NA,NA,NA
Avatar: The Last Airbender - Into the Inferno,THQ,THQ,ActionAdventure,ActionAdventure,2008,2008,E10,E,2,2,NA,NA,NA,No,0.12,0.09,NA,0.03,0.25
Avatar: The Last Airbender - The Burning Earth,THQ,THQ,ActionAdventure,ActionAdventure,2007,2007,E10,E,2,2,NA,NA,52,No,0.21,0.16,NA,0.05,0.42
